Relative Humidity,Soil temp.,Soil Wetness,Max temp.,Min temp.,Average temp.,Rainfall,class 
78.56,17.29,0.47,29.22,13.42,20.43,5.27,0
71.38,17.15,0.34,30.69,10.91,19.67,0,0
73.19,16.37,0.3,29.59,10.6,19.2,0,0
73.69,16.8,0.32,29.27,11.18,19.44,0,0
67.25,18.22,0.33,31.51,11.37,20.41,5.27,0
65.38,18.85,0.29,32.62,11.34,21.12,10.55,0
81.5,17.08,0.53,31.22,12.69,20.65,216.21,1
82.75,16.51,0.64,27.07,13.31,19.65,68.55,1
62.94,17.87,0.49,31.02,11.4,20.57,0,0
51.12,19.46,0.32,34.33,12.19,22.27,0,0
63.38,20.46,0.31,33.54,16.33,23.33,5.27,0
72.06,19.31,0.45,31.22,13.7,21.86,36.91,0
72.56,18.69,0.38,30.78,13.37,21.05,5.27,0
72.75,17.2,0.3,29.12,11.47,19.72,0,0
73,16.44,0.28,29.55,10.35,19.39,0,0
72.56,16.68,0.35,29.33,10.76,19.44,10.55,0
68.81,18.01,0.32,31.13,11,20.38,5.27,0
67.12,18.78,0.3,31.4,11.46,21.56,0,0
78.31,17.67,0.48,29.9,14.83,21.14,110.74,0
72.69,18.03,0.52,29.64,13.49,20.86,89.65,0
75.19,17.1,0.62,30.04,12.96,20.28,168.75,0
63.75,19.01,0.52,31.55,12.52,21.57,0,0
66.69,19,0.48,32.05,13.61,21.87,63.28,0
81.12,18.05,0.52,31.19,15.41,21.7,73.83,1
80.25,17.44,0.49,29.8,13.61,20.97,31.64,1
79.56,16.19,0.45,28.87,11.49,19.5,10.55,0
77.94,15.91,0.38,28.85,11.53,18.87,10.55,0
72.62,16.39,0.35,30.83,10.07,19.65,5.27,0
70.62,18.21,0.3,31.23,12.4,21.03,0,0
71.19,18.46,0.32,31.69,13.47,21.77,21.09,0
85.06,16.69,0.59,29.74,14.46,20.29,195.12,1
79.81,16.8,0.57,28.65,14.05,20.44,68.55,1
71.12,17.27,0.51,30.61,12.59,20.83,47.46,0
58.06,19.05,0.43,32.75,12.29,21.87,5.27,0
74.88,18.76,0.49,32.41,16.23,22.29,79.1,0
80.62,18.45,0.52,30.81,16.12,21.6,121.29,1
83.25,16.9,0.59,28.55,13.44,20.23,84.38,1
78.12,16.56,0.48,29.33,11.5,19.4,0,1
74.94,16.55,0.38,29.11,11.19,19.38,5.27,0
74.94,16.76,0.34,30.07,11.73,19.53,0,0
68,18.09,0.39,31.64,11.47,20.4,21.09,0
73.25,18.49,0.41,31.88,13.9,21.33,84.38,0
80.19,17.5,0.57,29.58,14.82,20.98,105.47,1
82.38,17.32,0.59,28.83,15.24,20.8,152.93,1
65.44,18.03,0.51,32.26,11.23,21.09,10.55,0
58.31,19.71,0.41,33.5,13.26,22.84,21.09,0
64.06,20.11,0.33,34.22,14,23.43,26.37,0
77,18.58,0.49,32.8,14.21,22.33,152.93,0
86.75,16.65,0.73,26.81,14.29,19.79,168.75,1
84.62,15.69,0.61,26.62,11.41,18.74,0,1
80.44,15.29,0.48,29.03,10.1,18.8,0,1
80.81,15.58,0.45,31.02,11.27,19.26,21.09,0
75.19,17.21,0.35,31.26,12.46,20.87,5.27,0
74.38,18.08,0.38,32.39,13.14,21.65,68.55,0
82.56,17.28,0.52,30.19,14.79,21.26,100.2,1
73.06,17.05,0.5,30.23,12.05,20.81,26.37,0
74.12,18.35,0.48,32.3,14.52,22,73.83,1
68.88,19.3,0.47,31.51,14.37,22.34,26.37,0
66.12,19.93,0.41,33.52,13.83,23.04,26.37,0
81.5,18.19,0.51,31.68,15.48,21.86,110.74,1
79.56,17.46,0.49,29.89,12.37,20.85,26.37,1
76.06,16.01,0.41,29.39,10.51,19.14,5.27,0
70.12,16.62,0.3,30.83,10.69,19.4,5.27,0
